filmweb_id,title,title_original,filmweb_url,year,rating,vote_count,imdb_id,vote_distribution,vote_count,rating,title,year
0,Zielona mila,The Green Mile,http://www.filmweb.pl/Zielona.Mila,1999,87,663216
1,Forrest Gump,,http://www.filmweb.pl/Forrest.Gump,1994,86,643012
2,Matrix,The Matrix,http://www.filmweb.pl/Matrix,1999,76,592050
3,Skazani na Shawshank,The Shawshank Redemption,http://www.filmweb.pl/Skazani.Na.Shawshank,1994,88,590344
4,Leon zawodowiec,Léon,http://www.filmweb.pl/Leon.Zawodowiec,1994,82,564252
5,Shrek,,http://www.filmweb.pl/Shrek,2001,78,562605
6,Avatar,,http://www.filmweb.pl/Avatar,2009,74,521674
7,Gladiator,,http://www.filmweb.pl/Gladiator,2000,81,506264
8,Titanic,,http://www.filmweb.pl/Titanic,1997,73,504115
9,Kac Vegas,The Hangover,http://www.filmweb.pl/film/Kac+Vegas-2009-487211,2009,74,496053
10,Requiem dla snu,Requiem for a Dream,http://www.filmweb.pl/Requiem.Dla.Snu,2000,79,490678
11,Piraci z Karaibów: Klątwa Czarnej Perły,Pirates of the Caribbean: The Curse of the Black Pearl,http://www.filmweb.pl/Piraci.Z.Karaibow,2003,78,487476
12,Władca Pierścieni: Drużyna Pierścienia,The Lord of the Rings: The Fellowship of the Ring,http://www.filmweb.pl/Wladca.Pierscieni.Druzyna.Pierscienia,2001,81,458462
13,Szósty zmysł,The Sixth Sense,http://www.filmweb.pl/Szosty.Zmysl,1999,79,451249
14,Seksmisja,,http://www.filmweb.pl/Seksmisja,1983,79,446682
15,Szeregowiec Ryan,Saving Private Ryan,http://www.filmweb.pl/Szeregowiec.Ryan,1998,82,440568
16,Slumdog. Milioner z ulicy,Slumdog Millionaire,http://www.filmweb.pl/film/Slumdog.+Milioner+z+ulicy-2008-468296,2008,74,438984
17,Milczenie owiec,The Silence of the Lambs,http://www.filmweb.pl/Milczenie.Owiec,1991,83,433259
18,Kod da Vinci,The Da Vinci Code,http://www.filmweb.pl/Kod.Da.Vinci,2006,66,419066
19,Cast Away - poza światem,Cast Away,http://www.filmweb.pl/film/Cast+Away+-+poza+%C5%9Bwiatem-2000-1470,2000,75,417270
20,Dzień świra,,http://www.filmweb.pl/Dzien.Swira,2002,78,408860
21,Pulp Fiction,,http://www.filmweb.pl/Pulp.Fiction,1994,85,405008
22,Podziemny krąg,Fight Club,http://www.filmweb.pl/Podziemny.Krag,1999,83,396101
23,Bękarty wojny,Inglourious Basterds,http://www.filmweb.pl/Bekarty.Wojny,2009,79,389763
24,Siedem,Se7en,http://www.filmweb.pl/Siedem,1995,84,377191
25,Pianista,The Pianist,http://www.filmweb.pl/Pianista,2002,83,376200
26,American Beauty,,http://www.filmweb.pl/American.Beauty,1999,76,372516
27,Truman Show,The Truman Show,http://www.filmweb.pl/Truman.Show,1998,74,367029
28,Incepcja,Inception,http://www.filmweb.pl/Incepcja,2010,83,359685
29,Król Lew,The Lion King,http://www.filmweb.pl/Krol.Lew,1994,83,344929
30,Ojciec chrzestny,The Godfather,http://www.filmweb.pl/Ojciec.Chrzestny,1972,87,351076
31,Efekt motyla,The Butterfly Effect,http://www.filmweb.pl/Efekt.Motyla,2004,78,348817
32,Nietykalni,Intouchables,http://www.filmweb.pl/film/Nietykalni-2011-583390,2011,87,341638
33,Wyspa tajemnic,Shutter Island,http://www.filmweb.pl/film/Wyspa+tajemnic-2010-464256,2010,81,346117
34,Bruce Wszechmogący,Bruce Almighty,http://www.filmweb.pl/Bruce.Wszechmogacy,2003,69,346335
