0,Zielona mila,The Green Mile,http://www.filmweb.pl/Zielona.Mila,1999,87,663216,66909,0000001232,587361,85,The Green Mile,1999
1,Forrest Gump,,http://www.filmweb.pl/Forrest.Gump,1994,86,643012,23081,0000000133,942994,88,Forrest Gump,1994
2,Matrix,The Matrix,http://www.filmweb.pl/Matrix,1999,76,592050,69005,0000000223,961023,87,The Matrix,1999
3,Skazani na Shawshank,The Shawshank Redemption,http://www.filmweb.pl/Skazani.Na.Shawshank,1994,88,590344,71138,0000000125,1354231,93,The Shawshank Redemption,1994
4,Leon zawodowiec,Léon,http://www.filmweb.pl/Leon.Zawodowiec,1994,82,564252,40706,0000000232,570954,86,Léon,1994
5,Shrek,,http://www.filmweb.pl/Shrek,2001,78,562605,57747,0000001311,378188,79,Shrek,2001
6,Avatar,,http://www.filmweb.pl/Avatar,2009,74,521674,5918,0000001212,732522,79,Avatar,2009
7,Gladiator,,http://www.filmweb.pl/Gladiator,2000,81,506264,24990,0000001222,765949,85,Gladiator,2000
8,Titanic,,http://www.filmweb.pl/Titanic,1997,73,504115,73815,0000001212,635047,77,Titanic,1997
9,Kac Vegas,The Hangover,http://www.filmweb.pl/film/Kac+Vegas-2009-487211,2009,74,496053,67023,0000001311,480102,78,The Hangover,2009
10,Requiem dla snu,Requiem for a Dream,http://www.filmweb.pl/Requiem.Dla.Snu,2000,79,490678,53529,0000001222,465125,84,Requiem for a Dream,2000
11,Piraci z Karaibów: Klątwa Czarnej Perły,Pirates of the Caribbean: The Curse of the Black Pearl,http://www.filmweb.pl/Piraci.Z.Karaibow,2003,78,487476,50540,0000001322,648502,81,Pirates of the Caribbean: The Curse of the Black Pearl,2003
12,Władca Pierścieni: Drużyna Pierścienia,The Lord of the Rings: The Fellowship of the Ring,http://www.filmweb.pl/Wladca.Pierscieni.Druzyna.Pierscienia,2001,81,458462,68541,0000000124,992632,88,The Lord of the Rings: The Fellowship of the Ring,2001
13,Szósty zmysł,The Sixth Sense,http://www.filmweb.pl/Szosty.Zmysl,1999,79,451249,71287,0000001321,576821,82,The Sixth Sense,1999
15,Szeregowiec Ryan,Saving Private Ryan,http://www.filmweb.pl/Szeregowiec.Ryan,1998,82,440568,55912,0000001232,687202,86,Saving Private Ryan,1998
16,Slumdog. Milioner z ulicy,Slumdog Millionaire,http://www.filmweb.pl/film/Slumdog.+Milioner+z+ulicy-2008-468296,2008,74,438984,58645,0000001221,534570,80,Slumdog Millionaire,2008
17,Milczenie owiec,The Silence of the Lambs,http://www.filmweb.pl/Milczenie.Owiec,1991,83,433259,71215,0000001232,678093,86,The Silence of the Lambs,1991
18,Kod da Vinci,The Da Vinci Code,http://www.filmweb.pl/Kod.Da.Vinci,2006,66,419066,65235,0000122100,261907,65,The Da Vinci Code,2006
19,Cast Away - poza światem,Cast Away,http://www.filmweb.pl/film/Cast+Away+-+poza+%C5%9Bwiatem-2000-1470,2000,75,417270,11386,0000002311,319346,77,Cast Away,2000
20,Dzień świra,,http://www.filmweb.pl/Dzien.Swira,2002,78,408860,19223,0000001222,4656,82,Dzien swira,2002
21,Pulp Fiction,,http://www.filmweb.pl/Pulp.Fiction,1994,85,405008,51990,0000000124,1045056,89,Pulp Fiction,1994
22,Podziemny krąg,Fight Club,http://www.filmweb.pl/Podziemny.Krag,1999,83,396101,22180,0000000133,1043987,89,Fight Club,1999
23,Bękarty wojny,Inglourious Basterds,http://www.filmweb.pl/Bekarty.Wojny,2009,79,389763,30943,0000001222,659947,83,Inglourious Basterds,2009
24,Siedem,Se7en,http://www.filmweb.pl/Siedem,1995,84,377191,56325,0000001232,796823,87,Se7en,1995
25,Pianista,The Pianist,http://www.filmweb.pl/Pianista,2002,83,376200,70012,0000000232,383333,85,The Pianist,2002
26,American Beauty,,http://www.filmweb.pl/American.Beauty,1999,76,372516,4000,0000001222,671692,85,American Beauty,1999
27,Truman Show,The Truman Show,http://www.filmweb.pl/Truman.Show,1998,74,367029,72160,0000001321,521730,80,The Truman Show,1998
28,Incepcja,Inception,http://www.filmweb.pl/Incepcja,2010,83,359685,30801,0000000123,1115115,88,Inception,2010
29,Król Lew,The Lion King,http://www.filmweb.pl/Krol.Lew,1994,83,344929,68367,0000001223,478707,85,The Lion King,1994
30,Ojciec chrzestny,The Godfather,http://www.filmweb.pl/Ojciec.Chrzestny,1972,87,351076,66676,0000000125,932500,92,The Godfather,1972
31,Efekt motyla,The Butterfly Effect,http://www.filmweb.pl/Efekt.Motyla,2004,78,348817,64501,0000002311,299646,77,The Butterfly Effect,2004
32,Nietykalni,Intouchables,http://www.filmweb.pl/film/Nietykalni-2011-583390,2011,87,341638,31214,0000000233,358816,86,Intouchables,2011
33,Wyspa tajemnic,Shutter Island,http://www.filmweb.pl/film/Wyspa+tajemnic-2010-464256,2010,81,346117,57810,0000001321,585620,81,Shutter Island,2010
34,Bruce Wszechmogący,Bruce Almighty,http://www.filmweb.pl/Bruce.Wszechmogacy,2003,69,346335,10104,0000023100,246295,67,Bruce Almighty,2003
35,Mroczny Rycerz,The Dark Knight,http://www.filmweb.pl/Mroczny.Rycerz,2008,80,341215,65277,0000000124,1322854,90,The Dark Knight,2008
36,Siedem dusz,Seven Pounds,http://www.filmweb.pl/film/Siedem+dusz-2008-459974,2008,80,338319,56857,0000001211,200742,77,Seven Pounds,2008
37,Epoka lodowcowa,Ice Age,http://www.filmweb.pl/Epoka.Lodowcowa,2002,76,336079,29915,0000002311,261997,76,Ice Age,2002
38,Władca Pierścieni: Powrót króla,The Lord of the Rings: The Return of the King,http://www.filmweb.pl/Powrot.Krola,2003,84,330455,68543,0000000124,966537,89,The Lord of the Rings: The Return of the King,2003
39,Ciekawy przypadek Benjamina Buttona,The Curious Case of Benjamin Button,http://www.filmweb.pl/film/Ciekawy+przypadek+Benjamina+Buttona-2008-123383,2008,77,332859,65196,0000001221,378554,78,The Curious Case of Benjamin Button,2008
40,Piękny umysł,A Beautiful Mind,http://www.filmweb.pl/Piekny.Umysl,2001,83,322135,1042,0000001321,460523,82,A Beautiful Mind,2001
41,Jestem legendą,I Am Legend,http://www.filmweb.pl/Jestem.Legenda,2007,75,321943,29410,0000012210,426708,72,I Am Legend,2007
42,Władca Pierścieni: Dwie wieże,The Lord of the Rings: The Two Towers,http://www.filmweb.pl/Dwie.Wieze,2002,84,317661,68544,0000000123,869876,88,The Lord of the Rings: The Two Towers,2002
43,Mr. & Mrs. Smith,,http://www.filmweb.pl/Mr.Mrs.Smith,2005,66,306683,44332,0000122100,274460,65,Mr. & Mrs. Smith,2005
45,Sherlock Holmes,,http://www.filmweb.pl/Sherlock.Holmes,2009,78,295122,57421,0000002311,390026,76,Sherlock Holmes,2009
46,Kiler,,http://www.filmweb.pl/Kiler,1997,77,292186,34214,0000002211,2436,76,Kiler,1997
47,Edward Nożycoręki,Edward Scissorhands,http://www.filmweb.pl/Edward.Nozycoreki,1990,78,291309,19553,0000001311,302297,80,Edward Scissorhands,1990
48,Hooligans,,http://www.filmweb.pl/Hooligans,2005,75,288658,28561,0000002311,101165,75,Hooligans,2005
49,Gran Torino,,http://www.filmweb.pl/film/Gran+Torino-2008-476580,2008,82,284215,25655,0000001321,456656,82,Gran Torino,2008
50,American Pie,,http://www.filmweb.pl/American.Pie,1999,65,284152,4079,0000012200,276440,70,American Pie,1999
51,300,,http://www.filmweb.pl/300,2006,76,281187,666,0000001212,515602,78,300,2006
