Ściśle tajne,Top Secret!,1984,74,9214
Internat,The Moth Diaries,2011,42,9200
Rok 1612,1612,2007,47,9184
Psychopata,Copycat,1995,72,9171
Omen III: Ostatnie starcie,The Final Conflict,1981,64,9173
Dog Soldiers,,2002,62,9170
Wywiad ze Słońcem Narodu,The Interview,2014,-1,-1
Złodzieje rowerów,Ladri di Biciclette,1948,78,9113
Operacja Dunaj,,2009,54,9137
Braterstwo broni,Taegukgi hwinalrimyeo,2004,79,9139
Pan Kleks w kosmosie,,1988,63,9139
Mężczyźni wolą blondynki,Gentlemen Prefer Blondes,1953,76,9035
Fenomen,Phenomenon,1996,73,9105
Miasto cienia,City of Ember,2008,65,9114
Sabrina,,1995,65,9107
Kuloodporny,Bulletproof Monk,2003,62,9108
Egzamin dojrzałości,The Perfect Score,2004,61,9102
Dragon Ball Z: Legendarny Super Saiyan,Dragon Ball Z 8: Moetsukiro!! Nessen retsusen-chô gekisen,1993,76,9083
Kupiec wenecki,The Merchant of Venice,2004,74,9086
City Island,,2009,73,9084
"Wybacz, ale będę ci mówiła skarbie",Scusa ma ti chiamo amore,2008,69,9076
Opętanie,Stir of Echoes,1999,69,9066
Ręka Boga,Frailty,2001,72,9058
Duch i Mrok,The Ghost and the Darkness,1996,71,9067
Koszmar z ulicy Wiązów 4: Władca snów,A Nightmare On Elm Street 4: The Dream Master,1988,67,9070
Sezon rezerwowych,The Replacements,2000,70,9046
Celebrity,,1998,70,9047
Zjadacz grzechów,The Order,2003,61,9047
John Lennon. Chłopak znikąd,Nowhere Boy,2009,72,9039
Kadet Kelly,Cadet Kelly,2002,62,9035
Replikant,Replicant,2001,60,9037
Gandhi,,1982,76,9037
Podwójne uderzenie,Double Impact,1991,63,9027
Kraina wiecznego szczęścia,Hearts in Atlantis,2001,76,9025
Blood and Bone,,2008,74,9024
Do zaliczenia,The To Do List,2013,48,8994
Melinda i Melinda,Melinda and Melinda,2004,66,9015
Obiecaj mi!,Zavet,2007,73,9017
Hannah i jej siostry,Hannah and Her Sisters,1986,77,9003
Pola śmierci,The Killing Fields,1984,79,9014
Piekło Pocztowe,Going Postal,2010,74,8999
Katakumby,Catacombs,2007,52,9002
Stop Loss,Stop-Loss,2008,72,8999
"Seksualni, niebezpieczni",The Inbetweeners Movie,2011,52,8996
Krwawa profesja,Blood Work,2002,69,8967
Dobra wróżka,Tooth Fairy,2010,59,8986
Afera Thomasa Crowna,The Thomas Crown Affair,1999,71,8983
Zakochani widzą słonie,Voksne mennesker,2005,71,8982
Będzie głośno,It Might Get Loud,2008,78,8969
Sissi - młoda cesarzowa,Sissi - Die junge Kaiserin,1956,74,8968
Trzy minuty. 21:37,,2010,73,8953
Oni żyją,They Live,1988,71,8934
Delikatność,La délicatesse,2011,67,8931
Mrówki w gaciach,Harte Jungs,2000,57,8933
Arbitraż,Arbitrage,2012,65,8927
Fanny i Aleksander,Fanny och Alexander,1982,81,8924
Nigdy nie mów żegnaj,Kabhi Alvida Naa Kehna,2006,77,8904
Sanatorium pod klepsydrą,,1973,79,8914
Grek Zorba,Alexis Zorbas,1964,79,8895
Dark Skies,,2013,65,8881
Smaki miłości,Feast of Love,2007,70,8880
Przyjemniaczek,Yat goh hiu yan,1997,69,8869
Elling,,2001,75,8861
Ukryte,Caché,2005,71,8864
Balonowy chłopak,Bubble Boy,2001,58,8855
Bilet na Księżyc,,2013,65,8822
Zawieście czerwone latarnie,Da hong deng long gao gao gua,1991,78,8848
Całe życie z wariatami,Shrink,2009,68,8842
Egzorcyzmy Anneliese Michel,,2007,67,8844
Wyznania małoletniej gwiazdy,Confessions of a Teenage Drama Queen,2004,56,8839
Enen,,2009,68,8845
Śmierć i dziewczyna,Death and the Maiden,1994,74,8811
Wykidajło,Road House,1989,71,8835
Droga do przebaczenia,Reservation Road,2007,70,8756
Kumple,Buddy,2003,74,8829
Dziki cel,Wild Target,2010,69,8813
Nieściszalni,Sound of Noise,2010,70,8686
Kłamstwo,Cry_Wolf,2005,68,8809
Notorious,,2009,73,8784
Rudolf czerwononosy Renifer,Rudolph the Red-Nosed Reindeer: The Movie,1998,68,8775
My Fair Lady,,1964,78,8794
Baśń o ludziach stąd,,2003,73,8798
Paranormal Activity: Naznaczeni,Paranormal Activity: The Marked Ones,2014,50,8409
Powrót do błękitnej laguny,Return to the Blue Lagoon,1991,64,8779
Stan zagrożenia,Clear and Present Danger,1994,71,8780
Uciekający pociąg,Runaway Train,1985,70,8790
Pluto Nash,The Adventures of Pluto Nash,2002,51,8788
Życie jest cudem,Život je čudo,2004,77,8783
Ślady zbrodni,Cleaner,2007,66,8757
Uznajcie mnie za winnego,Find Me Guilty,2006,72,8766
W paszczy szaleństwa,In the Mouth of Madness,1994,71,8666
Granice namiętności,The Edge of Love,2008,70,8753
Akcja pod Arsenałem,,1977,72,8756
Barry Lyndon,,1975,80,8610
Nad grobem,Open Grave,2013,62,8707
Alvin i Wiewiórki 3,Alvin and the Chipmunks: Chip-Wrecked,2011,63,8729
Uczeń szatana,Apt Pupil,1998,72,8729
Facet od W-F'u,Mr. Woodcock,2007,56,8737
Wyrolowani,Role Models,2008,63,8737
Czerwona gorączka,Red Heat,1988,65,8706
Take This Waltz,,2011,69,8632
