polish title,original title,year,score,vote count
Zielona mila,The Green Mile,1999,87,663216
Forrest Gump,,1994,86,643012
Matrix,The Matrix,1999,76,592050
Skazani na Shawshank,The Shawshank Redemption,1994,88,583281
Leon zawodowiec,Léon,1994,82,564252
Shrek,,2001,78,562605
Avatar,,2009,74,521674
Gladiator,,2000,81,506264
Titanic,,1997,73,496300
Kac Vegas,The Hangover,2009,74,496053
Requiem dla snu,Requiem for a Dream,2000,79,490678
Piraci z Karaibów: Klątwa Czarnej Perły,Pirates of the Caribbean: The Curse of the Black Pearl,2003,78,487476
Władca Pierścieni: Drużyna Pierścienia,The Lord of the Rings: The Fellowship of the Ring,2001,81,458462
Szósty zmysł,The Sixth Sense,1999,79,451249
Seksmisja,,1983,79,446682
Szeregowiec Ryan,Saving Private Ryan,1998,82,440568
Slumdog. Milioner z ulicy,Slumdog Millionaire,2008,74,438984
Milczenie owiec,The Silence of the Lambs,1991,83,433259
Kod da Vinci,The Da Vinci Code,2006,66,419066
Cast Away - poza światem,Cast Away,2000,75,415078
Dzień świra,,2002,78,408860
Pulp Fiction,,1994,85,405008
Podziemny krąg,Fight Club,1999,83,396101
Bękarty wojny,Inglourious Basterds,2009,79,389763
Siedem,Se7en,1995,84,377191
Pianista,The Pianist,2002,83,376200
American Beauty,,1999,76,372516
Truman Show,The Truman Show,1998,74,367029
Incepcja,Inception,2010,83,359685
Król Lew,The Lion King,1994,83,344929
Ojciec chrzestny,The Godfather,1972,87,348264
Efekt motyla,The Butterfly Effect,2004,78,348817
Wyspa tajemnic,Shutter Island,2010,81,346117
Bruce Wszechmogący,Bruce Almighty,2003,69,346335
Nietykalni,Intouchables,2011,87,341638
Mroczny Rycerz,The Dark Knight,2008,80,341215
Siedem dusz,Seven Pounds,2008,80,338319
Epoka lodowcowa,Ice Age,2002,76,336079
Władca Pierścieni: Powrót króla,The Lord of the Rings: The Return of the King,2003,84,330455
Ciekawy przypadek Benjamina Buttona,The Curious Case of Benjamin Button,2008,77,332859
Piękny umysł,A Beautiful Mind,2001,83,322135
Jestem legendą,I Am Legend,2007,75,321943
Władca Pierścieni: Dwie wieże,The Lord of the Rings: The Two Towers,2002,84,317661
Mr. & Mrs. Smith,,2005,66,306683
Adwokat diabła,The Devil's Advocate,1997,80,302349
Sherlock Holmes,,2009,78,295122
Kiler,,1997,77,292186
Edward Nożycoręki,Edward Scissorhands,1990,78,291309
Hooligans,,2005,75,288658
Gran Torino,,2008,82,284215
American Pie,,1999,65,284152
300,,2006,76,281187
Lśnienie,The Shining,1980,79,280797
Kevin sam w domu,Home Alone,1990,71,279001
Piraci z Karaibów: Skrzynia umarlaka,Pirates of the Caribbean: Dead Man's Chest,2006,78,276658
Braveheart - Waleczne Serce,Braveheart,1995,82,274197
Kill Bill,Kill Bill: Vol. 1,2003,73,272895
Madagaskar,Madagascar,2005,75,269176
Hannibal,,2001,76,262778
Diabeł ubiera się u Prady,The Devil Wears Prada,2006,69,262326
K-PAX,,2001,76,261161
Chłopaki nie płaczą,,2000,78,260360
Django,Django Unchained,2012,83,255468
Lejdis,,2008,59,258498
Powrót do przyszłości,Back to the Future,1985,73,254075
Piraci z Karaibów: Na krańcu świata,Pirates of the Caribbean: At World's End,2007,78,254726
Park Jurajski,Jurassic Park,1993,69,250748
Spider-Man,,2002,67,252613
