id,polish title,original title,year,score,vote count
0,Zielona mila,The Green Mile,1999,87,663216
1,Forrest Gump,,1994,86,643012
2,Matrix,The Matrix,1999,76,592050
3,Skazani na Shawshank,The Shawshank Redemption,1994,88,583281
4,Leon zawodowiec,Léon,1994,82,564252
5,Shrek,,2001,78,562605
6,Avatar,,2009,74,521674
7,Gladiator,,2000,81,506264
8,Titanic,,1997,73,496300
9,Kac Vegas,The Hangover,2009,74,496053
10,Requiem dla snu,Requiem for a Dream,2000,79,490678
11,Piraci z Karaibów: Klątwa Czarnej Perły,Pirates of the Caribbean: The Curse of the Black Pearl,2003,78,487476
12,Władca Pierścieni: Drużyna Pierścienia,The Lord of the Rings: The Fellowship of the Ring,2001,81,458462
13,Szósty zmysł,The Sixth Sense,1999,79,451249
14,Seksmisja,,1983,79,446682
15,Szeregowiec Ryan,Saving Private Ryan,1998,82,440568
16,Slumdog. Milioner z ulicy,Slumdog Millionaire,2008,74,438984
17,Milczenie owiec,The Silence of the Lambs,1991,83,433259
18,Kod da Vinci,The Da Vinci Code,2006,66,419066
19,Cast Away - poza światem,Cast Away,2000,75,415078
20,Dzień świra,,2002,78,408860
21,Pulp Fiction,,1994,85,405008
22,Podziemny krąg,Fight Club,1999,83,396101
23,Bękarty wojny,Inglourious Basterds,2009,79,389763
24,Siedem,Se7en,1995,84,377191
25,Pianista,The Pianist,2002,83,376200
26,American Beauty,,1999,76,372516
27,Truman Show,The Truman Show,1998,74,367029
28,Incepcja,Inception,2010,83,359685
29,Król Lew,The Lion King,1994,83,344929
30,Ojciec chrzestny,The Godfather,1972,87,348264
31,Efekt motyla,The Butterfly Effect,2004,78,348817
32,Wyspa tajemnic,Shutter Island,2010,81,346117
33,Bruce Wszechmogący,Bruce Almighty,2003,69,346335
34,Nietykalni,Intouchables,2011,87,341638
35,Mroczny Rycerz,The Dark Knight,2008,80,341215
36,Siedem dusz,Seven Pounds,2008,80,338319
37,Epoka lodowcowa,Ice Age,2002,76,336079
38,Władca Pierścieni: Powrót króla,The Lord of the Rings: The Return of the King,2003,84,330455
39,Ciekawy przypadek Benjamina Buttona,The Curious Case of Benjamin Button,2008,77,332859
40,Piękny umysł,A Beautiful Mind,2001,83,322135
